altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,presMax,presMin
273,"26,2","0,0","16,7","35,8",15,"0,8","5,3","989,8","986,8"
98,"20,8","2,6","15,6","26,0",99,"3,9","12,8","1011,8","1005,0"
127,"18,9","1,9","15,9","21,9",29,"3,6","8,3","1007,9","1001,3"
71,"23,2","0,0","19,1","27,2",12,"2,8","6,7","1015,2","1013,3"
632,"25,0","0,0","19,2","30,7",11,"3,6","8,3","950,0","947,6"
249,"24,6","0,0","17,4","31,7",13,"2,8","7,8","993,3","989,3"
36,"26,0","0,0","22,5","29,5",99,"2,2","5,8","1014,7","1012,2"
3,"22,2","0,0","15,5","28,8",10,"2,5","6,1","1022,4","1019,9"
15,"21,8","0,0","15,5","28,1",15,"2,2","5,6","1022,2","1020,1"
28,"28,4","0,0","22,1","34,8",14,"3,6","10,6","1016,8","1014,7"
1140,"21,8","0,0","13,9","29,6",19,"2,5","15,6","895,1","892,8"
513,"24,0","0,0","15,3","32,7",09,"1,7","6,9","963,4","961,0"
580,"22,6","0,0","10,2","34,9",24,"2,2","11,7","956,9","952,1"
143,"20,8",Ip,"13,7","28,0",17,"3,6","10,3","1008,7","1005,8"
607,"21,4","0,0","11,7","31,2",18,"1,9","6,1","952,6","949,7"
32,"23,7","0,0","21,6","25,8",08,"10,8","19,7",,
50,"26,1","0,0","21,5","30,7",12,"2,8","8,6","1018,1","1015,7"
40,"21,6","3,0","17,1","26,1",25,"1,7","6,1",,
1131,"18,1","0,0","10,5","25,7",14,"2,5","8,6","898,4","897,1"
8,,"0,0",,,08,"1,7","3,9","1022,1","1019,7"
770,"26,2",,"19,2","33,3",,,,"935,9","933,6"
62,"25,0","0,0","17,7","32,4",08,"2,5","8,6","1016,6","1013,6"
186,"24,6","0,0","17,4","31,9",22,"1,7","5,6","1000,6","997,1"
690,"22,8","0,0","12,8","32,8",10,"1,4","6,7","943,8","941,6"
372,"23,6","0,0","13,6","33,7",10,"0,8","6,7",,
291,"22,3","0,0","15,8","28,8",99,"2,2","7,8","991,1","987,6"
992,"19,6","0,0","10,7","28,4",99,"1,1","7,5","912,9","910,0"
130,"27,2","0,0","17,4","37,1",99,"1,7","8,3","1006,6","1003,3"
54,"24,0","0,0","18,9","29,2",13,"2,5","6,9","1017,1","1014,7"
25,"25,4","0,0","22,0","28,8",05,"2,5","5,8","1015,0","1012,3"
720,"19,6","0,0","6,3","33,0",22,"1,1","10,3",,
186,"25,4","0,0","20,3","30,4",09,"3,9","13,6","998,7","996,1"
605,"22,2","0,0","14,3","30,0",09,"1,4","5,6","955,4","952,6"
74,"22,8",,"18,3","27,3",17,"1,4","5,8",,
450,"22,8","0,0","14,9","30,7",,,,,
45,"27,6","0,5","18,5","36,6",30,"3,1","15,0",,
5,"20,4","2,2","17,4","23,3",,,,"1022,3","1015,9"
650,"27,4","0,0","20,8","33,9",26,"1,7","6,7",,
8,,"0,0",,,23,"1,7","6,1","1022,4","1018,9"
840,"20,6","0,0","12,6","28,6",24,"3,3","14,2","928,5","924,6"
400,"19,2","0,0","12,8","25,6",26,"1,1","6,9",,
466,"23,0","0,0","14,9","31,1",15,"1,1","7,8","969,5","966,6"
14,"27,6","0,0","20,8","34,5",33,"4,7","12,5","1016,0","1013,4"
1080,"19,6","0,0","8,8","30,5",99,"1,1","7,8","902,9","900,6"
687,"23,4","0,0","13,3","33,6",19,"3,6","8,3","943,9","941,4"
779,"23,0","0,0","12,7","33,3",07,"0,6","5,8","934,9","932,5"
531,"23,2","0,0","11,6","34,7",,,,,
643,"21,3","0,0","11,6","31,0",08,"1,9","6,9","950,7","948,3"
862,"25,9","0,0","17,7","34,1",31,"2,8","6,4","926,0","923,7"
1480,"15,6","0,0","9,2","22,1",18,"3,9","12,5",,
52,"24,4","0,9","17,4","31,5",28,"4,4","10,3","1015,4","1009,6"
21,"28,2","0,0","22,0","34,3",07,"6,4","12,5","1020,4","1017,2"
4,"24,9","0,0","16,4","33,4",29,"3,6","10,8","1022,5","1015,4"
183,"22,8","0,0","14,1","31,4",23,"0,6","5,3",,
1450,"19,8","0,0","14,9","24,7",17,"2,5","7,5",,
19,"24,0","0,0","20,2","27,9",09,"2,8","6,1","1022,0","1019,7"
675,"19,1",,"10,9","27,3",,,,,
12,"23,5","0,0","19,4","27,6",10,"1,9","7,5",,
804,"24,9","0,0","16,9","32,9",14,"1,1","6,1",,
38,"20,6","1,2","17,3","24,0",30,"2,2","9,4","1017,8","1012,1"
52,"23,6","0,0","20,5","26,6",36,"2,2","6,1","1016,2","1013,9"
15,,"0,0",,,31,"1,7","5,6","1016,7","1013,8"
10,"26,6",,"22,3","30,9",26,"1,9","7,2",,
60,"19,5","0,0","16,5","22,5",27,"1,7","10,8","1015,5","1008,7"
447,"25,1","0,0","14,9","35,3",32,"1,1","4,4","970,9","968,4"
228,"25,0","0,0","13,7","36,3",25,"1,1","5,8",,
459,"21,8","0,0","12,3","31,2",19,"1,4","5,8","970,6","967,2"
146,"21,7","0,0","14,7","28,7",26,"1,7","8,9",,
546,"22,9","0,0","16,4","29,4",13,"2,8","7,2","960,3","957,7"
51,"24,6","1,0","17,3","31,8",28,"4,7","11,1","1015,9","1009,5"
1025,"23,4","0,0","17,0","29,8",01,"4,2","7,5","908,4","906,8"
444,"24,4","0,0","16,7","32,1",34,"1,7","6,4","970,6","968,1"
680,"22,2","0,0","12,3","32,1",21,"3,1","10,8","945,1","942,5"
17,"25,4","0,0","20,0","30,7",03,"0,3","5,3",,
580,"28,6","0,0","23,5","33,7",13,"2,8","7,8","956,4","954,3"
18,"25,0","0,0","16,5","33,4",24,"2,2","6,7","1018,9","1016,5"
33,"25,0","0,0","22,9","27,0",99,"4,4","6,7","1014,3","1012,1"
353,"21,1","0,0","12,0","30,2",09,"2,2","8,3","980,7","977,0"
42,"27,2","0,0","17,7","36,7",28,"2,8","11,7","1018,9","1011,2"
727,"22,6","0,0","13,9","31,3",26,"1,1","4,7","940,2","937,7"
572,"27,1","0,0","19,3","34,9",22,"1,7","6,9","956,7","954,4"
662,"22,6","0,0","11,2","34,1",24,"1,1","4,7","947,7","945,5"
640,"21,4","0,0","10,7","32,1",21,"1,4","6,7","951,4","948,8"
807,"23,6","0,0","16,6","30,6",17,"2,5","8,9",,
90,"20,8","3,4","17,0","24,7",26,"12,5","19,7","1012,0","1005,7"
56,"23,4","0,0","16,7","30,0",04,"3,1","8,9","1016,6","1014,0"
620,"24,0","0,0","15,5","32,6",15,"1,7","5,6","952,5","949,9"
4,"21,2","0,0","14,9","27,4",,,,,
258,"24,7","0,0","16,9","32,5",13,"1,9","7,8","993,2","989,3"
4,"25,2","0,0","16,4","33,9",29,"2,8","10,8","1022,5","1015,4"
40,"23,4","0,0","17,0","29,9",99,"2,2","7,2","1020,1","1018,2"
3,"25,6","0,0","17,7","33,4",99,"1,4","3,9","1021,0","1018,3"
551,"25,0","0,0","15,2","34,8",15,"1,1","5,8","959,3","956,8"
1020,"18,8","0,0","9,8","27,7",21,"2,8","10,0","907,8","905,6"
820,"23,2","0,0","13,9","32,6",25,"1,7","8,6",,
64,"28,8","0,0","22,2","35,3",99,"5,6","15,0","1009,3","1007,4"
630,"25,2","0,0","16,2","34,1",08,"1,1","7,8",,
23,,"0,0",,,,,,,
846,"22,4","0,0","12,7","32,0",22,"3,9","9,7","926,9","924,0"
513,"21,8","0,0","10,0","33,5",22,"2,8","7,2","964,6","960,0"
90,"26,9","0,4","17,9","35,9",30,"3,3","11,9",,
869,"21,6","0,0","13,7","29,6",08,"2,2","7,8","926,0","923,3"
41,"24,0","0,0","18,1","30,0",07,"2,2","6,4","1016,7","1014,2"
490,"21,0","0,0","12,1","29,8",11,"0,6","4,7",,
702,"22,4","0,0","13,6","31,3",14,"2,8","9,7","943,7","941,2"
912,"21,6","0,0","14,3","28,8",99,"4,2","11,7","918,9","916,4"
572,"22,2","0,0","14,0","30,3",10,"1,7","5,3",,
15,"26,8","0,0","23,4","30,3",09,"1,4","8,6","1017,7","1014,2"
11,"23,8","0,0","19,0","28,5",14,"1,1","5,0",,
750,"26,0","0,0","18,6","33,4",24,"1,9","6,4","937,6","935,7"
850,"19,2","0,0","9,5","28,8",21,"2,2","11,7","926,4","924,1"
830,"20,4","0,0","9,8","30,9",,,,"929,2","926,7"
1062,"17,6","0,0","6,0","29,3",26,"1,1","7,2","905,5","902,9"
57,"21,8","1,2","17,4","26,2",24,"4,4","11,1","1016,3","1009,6"
157,"22,1","0,0","15,1","29,1",13,"1,4","7,8",,
616,"19,4","0,0","10,0","28,7",23,"2,5","9,2",,
269,"24,0","0,0","14,0","34,1",03,"1,4","8,3","990,7","987,5"
100,"19,4","0,0","14,3","24,5",28,"0,8","7,2",,
626,"22,0","0,0","14,5","29,6",11,"1,7","7,5",,
3,"25,1","0,0","21,7","28,5",20,"1,4","5,8","1023,0","1021,5"
